level2.phylum.gg,level3.class.gg,level4.order.gg,level5.family.gg,level6.genus.gg
,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae,k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__
,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes;o__SJA-22;f__,k__Bacteria;p__Acidobacteria;c__DA052;o__E29;f__;g__
,k__Bacteria;p__Proteobacteria;c__TA18,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Euglenozoa,k__Bacteria;p__Armatimonadetes;c__MD2902-B50;o__;f__,k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__
,k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Glaucocystophyceae,k__Bacteria;p__Armatimonadetes;c__OPB50;o__;f__,k__Bacteria;p__Acidobacteria;c__DA052;o__HDB_SIOH1004;f__;g__
,k__Bacteria;p__SAR406;c__AB16,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae,k__Bacteria;p__Armatimonadetes;c__OS-L;o__;f__,k__Bacteria;p__Acidobacteria;c__EC1113;o__;f__;g__
,k__Bacteria;p__SAR406;c__Ulr1583,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Rhodophyta,k__Bacteria;p__Armatimonadetes;c__SHA-37;o__;f__,k__Bacteria;p__Acidobacteria;c__GAL08;o__;f__;g__
,k__Bacteria;p__SBR1093;c__,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__;f__,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__
,k__Bacteria;p__SBR1093;c__A712011,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__GAB-B06;f__,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__
,k__Bacteria;p__SBR1093;c__EC214,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__UA01,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046;f__,k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix
,k__Bacteria;p__SBR1093;c__VHS-B5-50,k__Bacteria;p__Cyanobacteria;c__Gloeobacterophycideae;o__Gloeobacterales,k__Bacteria;p__Armatimonadetes;c__SJA-176;o__TP122;f__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__;f__;g__
,k__Bacteria;p__SC4;c__,k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__,k__Bacteria;p__Bacteroidetes;c__;o__;f__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__
,k__Bacteria;p__Spirochaetes;c__,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__,k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__
,k__Bacteria;p__Spirochaetes;c__[Brachyspirae],k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae],k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__;g__
,k__Bacteria;p__Spirochaetes;c__[Brevinematae],k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Stigonematales,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae,k__Bacteria;p__Acidobacteria;c__OS-K;o__;f__;g__
,k__Bacteria;p__Spirochaetes;c__[Leptospirae],k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__;f__,k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__
,k__Bacteria;p__Spirochaetes;c__GN05,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__,k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__
,k__Bacteria;p__Spirochaetes;c__MVP-15,k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae,k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__
,k__Bacteria;p__Spirochaetes;c__Spirochaetes,k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Saprospiraceae,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99;f__;g__
,k__Bacteria;p__SR1;c__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,k__Bacteria;p__Bacteroidetes;c__At12OctB3;o__;f__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__
,k__Bacteria;p__Synergistetes;c__Synergistia,k__Bacteria;p__Dictyoglomi;c__Dictyoglomia;o__Dictyoglomales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__
,k__Bacteria;p__TA06;c__,k__Bacteria;p__Elusimicrobia;c__;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae],k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__Bryobacter
,k__Bacteria;p__Tenericutes;c__,k__Bacteria;p__Elusimicrobia;c__4-29;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae],k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__AKIW659;g__
,k__Bacteria;p__Tenericutes;c__CK-1C4-19,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__MVS-65;g__
,k__Bacteria;p__Tenericutes;c__Mollicutes,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BA008,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__OPB3;g__
,k__Bacteria;p__Tenericutes;c__RF3,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__FAC88,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f;g__
,k__Bacteria;p__Thermotogae;c__MS9,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BS11,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PK34;g__
,k__Bacteria;p__Thermotogae;c__Thermotogae,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__MD2894-B20,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__GZKB119,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__
,k__Bacteria;p__TM6;c__,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__MVP-88,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter
,k__Bacteria;p__TM6;c__F38,k__Bacteria;p__Elusimicrobia;c__Endomicrobia;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__ML635J-40,k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__
,k__Bacteria;p__TM6;c__SBRH58,k__Bacteria;p__Elusimicrobia;c__OP2;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5,k__Bacteria;p__Acidobacteria;c__TM1;o__;f__;g__
,k__Bacteria;p__TM6;c__SJA-4,k__Bacteria;p__EM19;c__;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__
,k__Bacteria;p__TM7;c__,k__Bacteria;p__EM3;c__;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__
,k__Bacteria;p__TM7;c__MJK10,k__Bacteria;p__FBP;c__;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__
,k__Bacteria;p__TM7;c__SC3,k__Bacteria;p__FCPU426;c__;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium
,k__Bacteria;p__TM7;c__TM7-1,k__Bacteria;p__Fibrobacteres;c__;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrimicrobium
,k__Bacteria;p__TM7;c__TM7-3,k__Bacteria;p__Fibrobacteres;c__B5-096;o__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__SB-1,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__
,k__Bacteria;p__TPD-58;c__,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__258ds10,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__VC21_Bac22,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__
,k__Bacteria;p__Verrucomicrobia;c__,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales,k__Bacteria;p__Bacteroidetes;c__BME43;o__;f__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__
,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Ucp1540,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__
,k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],k__Bacteria;p__Fibrobacteres;c__SBZC_2415;o__,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae],k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia
,k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__Fibrobacteres;c__TG3;o__,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__JdFBGBact;g__
,k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Fibrobacteres;c__TG3;o__TG3-1,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__
,k__Bacteria;p__Verrucomicrobia;c__Verruco-5,k__Bacteria;p__Fibrobacteres;c__TG3;o__TG3-2,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__mixed
,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Firmicutes;c__AHT28;o__,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__;f__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__
,k__Bacteria;p__VHS-B3-43;c__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus Microthrix
,k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae],k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ntu14;g__
,k__Bacteria;p__WS1;c__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Blattabacteriaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__
,k__Bacteria;p__WS2;c__,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__SC3-41;g__
,k__Bacteria;p__WS2;c__Kazan-3B-09,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__
,k__Bacteria;p__WS2;c__SHA-109,k__Bacteria;p__Firmicutes;c__Clostridia;o__,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__wb1_P06;g__
,k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Firmicutes;c__Clostridia;o__[Desulforudales],k__Bacteria;p__Bacteroidetes;c__SB-5;o__;f__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ZA3409c;g__
,k__Bacteria;p__WS4;c__,k__Bacteria;p__Firmicutes;c__Clostridia;o__BSA2B-08,k__Bacteria;p__Bacteroidetes;c__SM1A07;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__
,k__Bacteria;p__WS5;c__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__
,k__Bacteria;p__WS6;c__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__NS11-12,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__
,k__Bacteria;p__WS6;c__B142,k__Bacteria;p__Firmicutes;c__Clostridia;o__MBA08,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__
,k__Bacteria;p__WS6;c__SC72,k__Bacteria;p__Firmicutes;c__Clostridia;o__Natranaerobiales,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum
,k__Bacteria;p__WWE1;c__[Cloacamonae],k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54,k__Bacteria;p__BHI80-139;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces
,k__Bacteria;p__WWE1;c__MSBL2,k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98,k__Bacteria;p__BHI80-139;c__bOHTK-109;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium
,k__Bacteria;p__ZB3;c__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales,k__Bacteria;p__BHI80-139;c__MD2896-B26;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Bogoriella
,k__Bacteria;p__ZB3;c__BS119,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,k__Bacteria;p__BRC1;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Candidatus Ancillula
,k__Bacteria;p__ZB3;c__Rs-J96,k__Bacteria;p__Firmicutes;c__OPB54;o__,k__Bacteria;p__BRC1;c__NPL-UPA2;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus
,,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales,k__Bacteria;p__BRC1;c__PRR-11;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09
,,k__Bacteria;p__GAL15;c__;o__,k__Bacteria;p__Caldiserica;c__Caldisericia;o__Caldisericales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella
,,k__Bacteria;p__Gemmatimonadetes;c__;o__,k__Bacteria;p__Caldiserica;c__Caldisericia;o__Caldisericales;f__Caldisericaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum
,,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__,k__Bacteria;p__Caldiserica;c__OP5;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinopolysporaceae;g__
,,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__,k__Bacteria;p__Caldiserica;c__OP5;o__LF045;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinopolysporaceae;g__Actinopolyspora
,,k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__,k__Bacteria;p__Caldiserica;c__OP5;o__WCHB1-02;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__
,,k__Bacteria;p__Gemmatimonadetes;c__Gemm-4;o__,k__Bacteria;p__Caldiserica;c__OP5;o__WCHB1-02;f__SHBZ1169,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__
,,k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__,k__Bacteria;p__Caldiserica;c__TTA-B1;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Actinoalloteichus
,,k__Bacteria;p__Gemmatimonadetes;c__Gemm-6;o__,k__Bacteria;p__Caldiserica;c__WCHB1-03;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Actinokineospora
,,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__,k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Actinosynnema
,,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__C114,k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales;f__BA059,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Amycolatopsis
,,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290,k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales;f__Caldithrixaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Kibdelosporangium
,,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales,k__Bacteria;p__CD12;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Kutzneria
,,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87,k__Bacteria;p__Chlamydiae;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Lentzea
,,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Saccharothrix
,,k__Bacteria;p__Gemmatimonadetes;c__JL-ETNP-Z39;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Saccharothrixopsis
,,k__Bacteria;p__GN01;c__;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__
,,k__Bacteria;p__GN02;c__;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Criblamydiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__Beutenbergia
,,k__Bacteria;p__GN02;c__3BR-5F;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__Salana
,,k__Bacteria;p__GN02;c__BB34;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae;g__Serinibacter
,,k__Bacteria;p__GN02;c__BD1-5;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia
,,k__Bacteria;p__GN02;c__GKS2-174;o__,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Waddliaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__
,,k__Bacteria;p__GN02;c__GN07;o__,k__Bacteria;p__Chlorobi;c__;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium
,,k__Bacteria;p__GN02;c__GN10;o__,k__Bacteria;p__Chlorobi;c__BSV26;o__;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__
,,k__Bacteria;p__GN02;c__IIB17;o__,k__Bacteria;p__Chlorobi;c__BSV26;o__A89;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea
,,k__Bacteria;p__GN02;c__SBYW_2184;o__,k__Bacteria;p__Chlorobi;c__BSV26;o__BSN164;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas
,,k__Bacteria;p__GN04;c__;o__,k__Bacteria;p__Chlorobi;c__BSV26;o__C20;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Demequina
,,k__Bacteria;p__GN04;c__5bav_B12;o__,k__Bacteria;p__Chlorobi;c__BSV26;o__PK329;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia
,,k__Bacteria;p__GN04;c__GN15;o__,k__Bacteria;p__Chlorobi;c__BSV26;o__VC38;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Sediminihabitans
,,k__Bacteria;p__GN04;c__MSB-5A5;o__,k__Bacteria;p__Chlorobi;c__Chlorobia;o__[Chloroherpetales];f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium
,,k__Bacteria;p__GOUTA4;c__;o__,k__Bacteria;p__Chlorobi;c__Chlorobia;o__[Chloroherpetales];f__[Chloroherpetaceae],k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__
,,k__Bacteria;p__H-178;c__;o__,k__Bacteria;p__Chlorobi;c__Chlorobia;o__[Chloroherpetales];f__SM1B02,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Cryptosporangium
,,k__Bacteria;p__Hyd24-12;c__;o__,k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__Chlorobiaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__
,,k__Bacteria;p__Hyd24-12;c__WM88;o__,k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium
,,k__Bacteria;p__Kazan-3B-28;c__;o__,k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__[Melioribacteraceae],k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter
,,k__Bacteria;p__KSB3;c__;o__,k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Devriesea
